age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
91,retired,married,tertiary,no,427,yes,no,telephone,14,sep,260,3,57,0,unknown,no
74,technician,married,secondary,no,3561,no,no,unknown,24,sep,250,5,-1,0,failure,yes
22,self-employed,married,secondary,no,621,no,no,cellular,28,oct,62,3,243,0,success,yes
66,blue-collar,married,secondary,yes,2035,yes,yes,cellular,23,dec,595,1,-1,0,unknown,no
53,technician,divorced,secondary,no,-1035,no,no,cellular,30,may,465,4,-1,0,success,yes
78,self-employed,married,tertiary,no,-665,no,no,cellular,19,aug,228,1,-1,0,unknown,no
92,services,married,secondary,no,-1676,yes,no,cellular,9,jul,119,3,-1,0,failure,no
90,blue-collar,single,primary,no,1631,yes,no,unknown,7,apr,812,3,166,0,unknown,no
81,student,married,secondary,no,5568,no,yes,unknown,3,may,244,3,-1,0,unknown,yes
62,unemployed,single,unknown,no,9795,no,no,cellular,27,mar,1031,7,-1,0,unknown,yes
79,admin.,single,primary,no,3958,yes,no,telephone,7,nov,441,1,234,0,failure,yes
66,blue-collar,married,tertiary,no,-2646,yes,no,unknown,5,may,376,11,-1,0,success,yes
77,housemaid,single,tertiary,no,23,no,no,cellular,7,jun,365,3,-1,0,unknown,no
38,entrepreneur,married,secondary,no,1155,yes,no,cellular,5,feb,1129,4,-1,0,unknown,yes
94,entrepreneur,married,tertiary,no,-2834,yes,yes,cellular,25,feb,428,1,-1,0,unknown,no
74,entrepreneur,married,secondary,no,5517,no,yes,cellular,31,mar,391,1,-1,1,unknown,yes
59,blue-collar,married,tertiary,no,6589,yes,no,unknown,18,nov,197,1,304,1,unknown,no
23,retired,single,tertiary,no,-1630,yes,no,unknown,31,jul,303,2,-1,0,unknown,no
36,retired,married,secondary,no,6273,yes,no,cellular,11,nov,214,2,-1,0,failure,no
88,retired,single,secondary,no,-2665,yes,yes,cellular,5,may,490,2,-1,0,unknown,no
68,retired,married,secondary,no,5599,yes,yes,cellular,30,oct,426,2,23,0,failure,no
74,student,single,unknown,no,-265,no,no,cellular,1,may,310,1,-1,0,unknown,yes
66,unemployed,single,secondary,no,2368,no,no,cellular,21,sep,92,2,-1,4,failure,no
71,management,married,primary,no,2842,no,no,cellular,31,sep,294,6,234,0,failure,yes
23,self-employed,married,secondary,no,-873,no,no,unknown,5,apr,489,2,-1,0,unknown,no
53,technician,married,tertiary,no,985,yes,no,cellular,26,jul,211,1,-1,0,unknown,no
51,student,married,tertiary,no,-8042,yes,yes,cellular,7,feb,991,2,-1,0,failure,no
30,unemployed,single,primary,no,1712,no,no,cellular,5,may,323,1,-1,0,failure,yes
33,services,married,tertiary,no,-210,yes,no,cellular,13,jan,465,2,-1,0,unknown,no
24,management,divorced,secondary,no,2758,no,no,cellular,9,dec,513,3,-1,0,failure,yes
46,student,married,secondary,no,1871,yes,no,cellular,18,jul,236,3,-1,0,unknown,no
27,admin.,married,tertiary,no,4964,yes,no,cellular,20,sep,197,1,-1,0,unknown,no
18,self-employed,divorced,secondary,no,3426,no,no,cellular,25,mar,454,5,328,0,unknown,yes
23,management,single,secondary,no,-435,no,no,cellular,11,oct,243,2,-1,0,unknown,no
87,services,single,tertiary,no,2305,no,no,cellular,13,oct,382,10,-1,0,unknown,yes
75,housemaid,married,secondary,no,1171,yes,no,unknown,27,jun,190,1,-1,0,unknown,no
22,management,married,tertiary,no,-4054,no,no,unknown,13,apr,270,5,-1,0,unknown,no
94,housemaid,married,secondary,no,5506,no,no,cellular,19,feb,84,3,-1,0,unknown,no
48,self-employed,married,tertiary,no,6324,no,no,cellular,6,oct,61,3,-1,0,unknown,no
48,management,married,secondary,no,2534,no,no,cellular,21,jan,469,1,-1,0,unknown,yes
94,entrepreneur,married,unknown,no,-2229,no,no,cellular,26,mar,529,1,-1,0,unknown,no
43,entrepreneur,married,secondary,no,-2840,yes,no,unknown,2,sep,539,4,-1,0,unknown,no
50,blue-collar,married,secondary,no,-356,yes,no,cellular,3,jun,553,12,287,0,success,yes
50,unknown,married,secondary,no,5723,yes,no,cellular,31,jun,593,1,-1,0,failure,no
81,student,married,tertiary,no,-491,no,no,unknown,10,feb,288,2,187,0,unknown,no
43,unemployed,single,tertiary,no,2507,no,no,unknown,10,jun,83,1,-1,0,unknown,no
71,services,married,secondary,no,9912,no,no,cellular,10,sep,7,3,-1,2,unknown,yes
84,entrepreneur,married,tertiary,no,6611,no,no,unknown,15,mar,234,7,-1,1,unknown,yes
89,entrepreneur,divorced,secondary,no,263,yes,yes,cellular,29,jun,124,1,392,0,unknown,no
51,student,single,secondary,no,-721,no,no,cellular,3,jun,187,2,78,0,unknown,no
26,technician,married,tertiary,no,4029,yes,no,cellular,30,aug,595,3,-1,0,unknown,yes
76,self-employed,married,secondary,no,691,no,no,unknown,9,apr,428,5,-1,0,unknown,yes
68,admin.,married,secondary,no,4413,yes,no,cellular,31,oct,326,4,-1,0,unknown,no
42,student,single,tertiary,no,3064,yes,no,cellular,30,may,531,7,-1,2,unknown,no
43,unemployed,married,secondary,no,1455,no,yes,cellular,19,sep,388,3,2,0,unknown,no
82,unemployed,single,secondary,no,4286,no,no,cellular,10,feb,60,1,-1,0,unknown,yes
43,unemployed,married,secondary,no,5451,yes,yes,unknown,7,sep,251,1,57,0,unknown,no
65,student,single,secondary,no,283,yes,no,cellular,25,apr,205,4,-1,0,unknown,no
57,unemployed,single,secondary,no,8074,yes,no,telephone,2,apr,94,2,273,0,unknown,yes
23,technician,single,tertiary,yes,1744,yes,no,unknown,22,jan,42,1,-1,0,other,yes
61,services,married,secondary,no,-1237,no,no,cellular,25,jan,96,3,-1,0,unknown,no
36,retired,single,secondary,no,-1788,no,no,cellular,9,jun,229,3,-1,1,unknown,no
57,housemaid,married,secondary,no,-1757,yes,no,cellular,27,aug,141,2,-1,0,failure,no
22,entrepreneur,married,primary,no,5320,yes,no,cellular,5,jun,153,1,-1,0,unknown,yes
52,retired,single,secondary,no,5893,yes,yes,cellular,26,sep,513,5,-1,0,unknown,no
68,retired,single,secondary,no,636,no,no,cellular,6,feb,452,1,-1,0,unknown,no
75,services,married,primary,no,2322,no,yes,cellular,25,jul,174,4,-1,0,unknown,no
34,technician,divorced,secondary,no,5168,no,no,cellular,4,feb,214,1,-1,0,unknown,yes
19,entrepreneur,single,tertiary,no,-929,yes,no,cellular,28,feb,330,1,207,0,unknown,no
69,technician,married,secondary,no,1154,yes,no,cellular,31,nov,197,2,-1,1,unknown,no
19,admin.,married,tertiary,no,926,yes,no,telephone,20,may,324,1,-1,0,unknown,yes
45,management,married,tertiary,no,-3833,yes,no,cellular,23,jun,281,1,-1,0,unknown,no
51,unemployed,single,secondary,no,-533,no,no,unknown,4,apr,227,1,-1,5,unknown,yes
50,unemployed,married,secondary,no,5672,yes,yes,unknown,14,jan,505,2,286,0,unknown,no
