RowNumber,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
1,15440444,Customer1,761,France,Female,27,4,0.0,2,1,1,179373.77,0
2,15490974,Customer2,687,Spain,Male,43,4,0.0,2,1,1,182630.86,0
3,15447764,Customer3,701,France,Female,33,9,78164.23,2,1,0,155863.14,0
4,15416236,Customer4,583,Germany,Female,18,1,0.0,1,1,1,175451.43,0
5,15440500,Customer5,661,Spain,Female,58,9,0.0,1,1,0,83320.98,1
6,15854424,Customer6,685,Germany,Male,41,1,43215.44,4,1,1,62566.29,1
7,15826626,Customer7,689,Germany,Female,44,10,208435.04,4,1,0,175536.92,1
8,15540222,Customer8,597,France,Male,47,1,0.0,2,0,1,62559.95,0
9,15590081,Customer9,643,France,Female,37,2,0.0,2,1,0,51789.65,0
10,15096934,Customer10,693,France,Female,31,8,77165.92,1,0,1,127131.92,1
11,15724485,Customer11,687,Germany,Female,42,0,172856.8,2,1,0,54912.17,1
12,15944742,Customer12,737,Spain,Female,47,10,173968.33,2,1,1,82483.46,0
13,15175808,Customer13,757,France,Male,50,8,227369.21,3,0,1,34587.29,0
14,15327631,Customer14,560,France,Male,25,7,74507.93,2,1,0,151505.83,0
15,15271604,Customer15,794,France,Female,47,9,66843.6,1,1,1,103548.61,0
16,15820088,Customer16,537,Spain,Female,21,7,106216.81,1,1,1,73080.89,0
17,15384360,Customer17,652,France,Female,43,3,0.0,1,1,0,156999.92,0
18,15676196,Customer18,701,France,Female,32,7,0.0,1,1,1,35339.76,0
19,15982142,Customer19,631,Spain,Female,44,7,35580.24,2,1,1,55598.6,1
20,15568277,Customer20,675,France,Female,46,9,108572.04,3,1,1,31732.26,0
21,15257382,Customer21,624,Germany,Female,43,10,196385.02,1,1,0,184688.75,1
22,15796259,Customer22,694,Spain,Male,47,4,0.0,2,1,1,119078.32,0
23,15702332,Customer23,638,France,Male,45,3,229195.76,1,1,0,34951.39,0
24,15989987,Customer24,642,Germany,Male,39,3,107690.15,3,1,0,181519.18,0
25,15597701,Customer25,745,Spain,Male,52,7,63075.07,1,1,0,104938.52,1
26,15578763,Customer26,682,France,Female,37,5,339507.03,2,1,0,66777.28,0
27,15791647,Customer27,642,Germany,Male,32,3,140446.0,2,1,1,101584.09,0
28,15848740,Customer28,654,Spain,Male,40,4,145767.65,2,1,0,159569.93,1
